"country","year","type","twh","tot"
"363","Spain",2014,"gas_electricity",47270,3273.22
"364","Spain",2014,"hydro_electricity",39170,3273.22
"365","Spain",2014,"nuclear_electricity",57310,3273.22
"366","Spain",2014,"oil_electricity",15790,3273.22
"367","Spain",2014,"other_renewable_exc_biofuel_electricity",0,3273.22
"368","Spain",2014,"solar_electricity",13670,3273.22
"369","Spain",2014,"wind_electricity",52010,3273.22
"370","Spain",2014,"tot",274440,3273.22
"371","Spain",2015,"biofuel_electricity",5760,3273.22
"372","Spain",2015,"coal_electricity",51370,3273.22
"373","Spain",2015,"gas_electricity",52500,3273.22
"374","Spain",2015,"hydro_electricity",28140,3273.22
"375","Spain",2015,"nuclear_electricity",57200,3273.22
"376","Spain",2015,"oil_electricity",19020,3273.22
"377","Spain",2015,"other_renewable_exc_biofuel_electricity",0,3273.22
"378","Spain",2015,"solar_electricity",13860,3273.22
"379","Spain",2015,"wind_electricity",49320,3273.22
"380","Spain",2015,"tot",277170,3273.22
"381","Spain",2016,"biofuel_electricity",5690,3273.22
"382","Spain",2016,"coal_electricity",36430,3273.22
"383","Spain",2016,"gas_electricity",52830,3273.22
"384","Spain",2016,"hydro_electricity",36400,3273.22
"385","Spain",2016,"nuclear_electricity",58630,3273.22
"386","Spain",2016,"oil_electricity",18180,3273.22
"387","Spain",2016,"other_renewable_exc_biofuel_electricity",0,3273.22
"388","Spain",2016,"solar_electricity",13640,3273.22
"389","Spain",2016,"wind_electricity",48900,3273.22
"390","Spain",2016,"tot",270700,3273.22
"391","Spain",2017,"biofuel_electricity",6080,3273.22
"392","Spain",2017,"coal_electricity",45130,3273.22
"393","Spain",2017,"gas_electricity",64040,3273.22
"394","Spain",2017,"hydro_electricity",18320,3273.22
"395","Spain",2017,"nuclear_electricity",58040,3273.22
"396","Spain",2017,"oil_electricity",17240,3273.22
"397","Spain",2017,"other_renewable_exc_biofuel_electricity",0,3273.22
"398","Spain",2017,"solar_electricity",14400,3273.22
"399","Spain",2017,"wind_electricity",49130,3273.22
"400","Spain",2017,"tot",272380,3273.22
"401","Spain",2018,"biofuel_electricity",5910,3273.22
"402","Spain",2018,"coal_electricity",37340,3273.22
"403","Spain",2018,"gas_electricity",58000,3273.22
"404","Spain",2018,"hydro_electricity",34330,3273.22
"405","Spain",2018,"nuclear_electricity",55770,3273.22
"406","Spain",2018,"oil_electricity",16420,3273.22
"407","Spain",2018,"other_renewable_exc_biofuel_electricity",0,3273.22
"408","Spain",2018,"solar_electricity",12740,3273.22
"409","Spain",2018,"wind_electricity",50890,3273.22
"410","Spain",2018,"tot",271400,3273.22
"411","Spain",2019,"biofuel_electricity",5570,3273.22
"412","Spain",2019,"coal_electricity",12860,3273.22
"413","Spain",2019,"gas_electricity",83710,3273.22
"414","Spain",2019,"hydro_electricity",24650,3273.22
"415","Spain",2019,"nuclear_electricity",58350,3273.22
"416","Spain",2019,"oil_electricity",14610,3273.22
"417","Spain",2019,"other_renewable_exc_biofuel_electricity",20,3273.22
"418","Spain",2019,"solar_electricity",15100,3273.22
"419","Spain",2019,"wind_electricity",55650,3273.22
"420","Spain",2019,"tot",270520,3273.22
"421","Indonesia",2014,"biofuel_electricity",9180,3166.82
"422","Indonesia",2014,"coal_electricity",119530,3166.82
"423","Indonesia",2014,"gas_electricity",60540,3166.82
"424","Indonesia",2014,"hydro_electricity",15160,3166.82
"425","Indonesia",2014,"nuclear_electricity",0,3166.82
"426","Indonesia",2014,"oil_electricity",23060,3166.82
"427","Indonesia",2014,"other_renewable_exc_biofuel_electricity",10060,3166.82
"428","Indonesia",2014,"solar_electricity",10,3166.82
"429","Indonesia",2014,"wind_electricity",0,3166.82
"430","Indonesia",2014,"tot",237540,3166.82
"431","Indonesia",2015,"biofuel_electricity",9750,3166.82
"432","Indonesia",2015,"coal_electricity",124660,3166.82
"433","Indonesia",2015,"gas_electricity",54140,3166.82
"434","Indonesia",2015,"hydro_electricity",13740,3166.82
"435","Indonesia",2015,"nuclear_electricity",0,3166.82
"436","Indonesia",2015,"oil_electricity",30920,3166.82
"437","Indonesia",2015,"other_renewable_exc_biofuel_electricity",10060,3166.82
"438","Indonesia",2015,"solar_electricity",10,3166.82
"439","Indonesia",2015,"wind_electricity",0,3166.82
"440","Indonesia",2015,"tot",243280,3166.82
"441","Indonesia",2016,"biofuel_electricity",10210,3166.82
"442","Indonesia",2016,"coal_electricity",135380,3166.82
"443","Indonesia",2016,"gas_electricity",61790,3166.82
"444","Indonesia",2016,"hydro_electricity",18680,3166.82
"445","Indonesia",2016,"nuclear_electricity",0,3166.82
"446","Indonesia",2016,"oil_electricity",20800,3166.82
"447","Indonesia",2016,"other_renewable_exc_biofuel_electricity",10660,3166.82
"448","Indonesia",2016,"solar_electricity",20,3166.82
"449","Indonesia",2016,"wind_electricity",10,3166.82
"450","Indonesia",2016,"tot",257550,3166.82
"451","Indonesia",2017,"biofuel_electricity",11450,3166.82
"452","Indonesia",2017,"coal_electricity",147960,3166.82
"453","Indonesia",2017,"gas_electricity",55830,3166.82
"454","Indonesia",2017,"hydro_electricity",18630,3166.82
"455","Indonesia",2017,"nuclear_electricity",0,3166.82
"456","Indonesia",2017,"oil_electricity",18850,3166.82
"457","Indonesia",2017,"other_renewable_exc_biofuel_electricity",13060,3166.82
"458","Indonesia",2017,"solar_electricity",30,3166.82
"459","Indonesia",2017,"wind_electricity",0,3166.82
"460","Indonesia",2017,"tot",265810,3166.82
"461","Indonesia",2018,"biofuel_electricity",12130,3166.82
"462","Indonesia",2018,"coal_electricity",160010,3166.82
"463","Indonesia",2018,"gas_electricity",57450,3166.82
"464","Indonesia",2018,"hydro_electricity",21640,3166.82
"465","Indonesia",2018,"nuclear_electricity",0,3166.82
"466","Indonesia",2018,"oil_electricity",17950,3166.82
"467","Indonesia",2018,"other_renewable_exc_biofuel_electricity",14330,3166.82
"468","Indonesia",2018,"solar_electricity",90,3166.82
"469","Indonesia",2018,"wind_electricity",190,3166.82
"470","Indonesia",2018,"tot",283790,3166.82
"471","Indonesia",2019,"biofuel_electricity",12170,3166.82
"472","Indonesia",2019,"coal_electricity",174490,3166.82
